branch,size,subset,C_S
A,1,F0,0.013293637278594228
A,1,jit,0.01399428305235284
A,1,shim,0.04093681277809036
A,1,hnr,0.01404516471337336
A,2,F0+jit,-0.003756642172939584
A,2,F0+shim,-0.0006773334247462959
A,2,F0+hnr,0.0034219764339239456
A,2,jit+shim,-0.012807219392458546
A,2,jit+hnr,-0.010712931867382536
A,2,shim+hnr,-0.010569355833649263
A,3,F0+jit+shim,0.006103744175078085
A,3,F0+jit+hnr,0.0008892641059549122
A,3,F0+shim+hnr,-0.0054521567395071635
A,3,jit+shim+hnr,0.010155341346698266
A,4,F0+jit+shim+hnr,-0.0011064315249927903
B,1,F0,0.009557117678698601
B,1,jit,0.01396877890704007
B,1,shim,0.04115780000497948
B,1,hnr,0.012057179884781721
B,2,F0+jit,-0.0030334732101906514
B,2,F0+shim,-0.0007086391202477671
B,2,F0+hnr,0.0027536026909159572
B,2,jit+shim,-0.01271557382677213
B,2,jit+hnr,-0.009866945807863403
B,2,shim+hnr,-0.0069015641301123365
B,3,F0+jit+shim,0.004794508742448134
B,3,F0+jit+hnr,8.363771773356454e-05
B,3,F0+shim+hnr,-0.004978194493630905
B,3,jit+shim+hnr,0.009180130840331757
B,4,F0+jit+shim+hnr,-0.0004430908749361029
